spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,P_concentration_apparent,Ti_concentration_apparent,F_concentration_apparent,Cl_concentration_apparent,Zr_concentration_apparent,Ar_concentration_apparent,Y_concentration_apparent,Mn_concentration_apparent,Th_concentration_apparent,Zn_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,K_wtper,Ca_wtper,Fe_wtper,Ag_wtper,P_wtper,Ti_wtper,F_wtper,Cl_wtper,Zr_wtper,Ar_wtper,Y_wtper,Mn_wtper,Th_wtper,Zn_wtper
10,point,210,rock,1.6,1.06,0,0,0.26,0.36,3.9,0.03,0.31,4.8,0,0,0,0,0,0,0,0,0,0,0,32.95,4.56,0,0,1.4,1.96,22.91,0.15,1.83,34.23,0,0,0,0,0,0,0,0,0,0,0
10,point,211,rock,4.23,2.24,0.03,0.03,0.19,0.18,2.71,0.04,0.32,0.05,0.03,0,0,0,0,0,0,0,0,0,0,66.52,11.25,0.11,0.13,1.05,0.98,16.96,0.25,2.1,0.4,0.25,0,0,0,0,0,0,0,0,0,0
10,point,212,rock,0.14,0.94,0,0.1,1.34,2.17,0.28,0.37,3.91,0.47,0,0,0.04,0,0,0,0,0,0,0,0,4.57,9.07,0,0.83,11.99,20.62,2.94,3.57,40.04,5.9,0,0,0.48,0,0,0,0,0,0,0,0
10,point,213,rock,0.72,6.53,0.03,0.15,2.65,5.57,0.28,0.52,0.24,0.48,0,0,0.06,0.1,0,0,0,0,0,0,0,15.57,26.83,0.1,0.77,14,31.8,1.79,3.24,1.52,3.68,0,0,0.45,0.24,0,0,0,0,0,0,0
10,point,214,rock,0,15.8,0,0,6.19,5.51,0.06,0,0.05,0.26,0,0,0,0,0,0,0,0,0,0,0,0,44.65,0,0,26.63,26.47,0.35,0,0.26,1.64,0,0,0,0,0,0,0,0,0,0,0
10,point,215,rock,1.11,16.07,0.05,0.25,3.7,6.84,0.34,0.66,0.24,0.48,0.07,0,0,0,0,0,0,0,0,0,0,13.88,39.58,0.11,0.82,12.68,25.19,1.41,2.61,0.97,2.38,0.37,0,0,0,0,0,0,0,0,0,0
10,point,216,rock,3.57,2.17,0.02,0.03,1.11,0.66,1.22,0.09,0.26,0.14,0.43,0,0.04,0,0.03,0.17,0,0,0,0,0,59.02,11.92,0.1,0.19,6.55,4.1,8.43,0.61,1.81,1.17,4.02,0,0.3,0,0.25,1.51,0,0,0,0,0
10,point,217,rock,2.24,2.02,0.04,0.04,1.07,0.93,1.45,0.12,0.63,0.14,0.05,0.19,0,0,0,0,0,0,0,0,0,50.72,13.03,0.2,0.28,7.55,6.93,12,0.96,5.32,1.41,0.6,1,0,0,0,0,0,0,0,0,0
10,point,218,rock,3.38,4.76,0.03,0.12,1.51,2.26,1,0.38,0.31,0.4,0.04,0,0.04,0,0,0,0,0,0,0,0,48.1,19.53,0.11,0.56,7.25,11.5,5.68,2.11,1.79,2.79,0.3,0,0.28,0,0,0,0,0,0,0,0
10,point,219,rock,4.64,2.56,0.02,0.03,0.44,0.43,2.04,0.03,0.36,0.11,0.09,0,0,0,0,0,0,0,0,0,0,66.28,12.36,0.07,0.14,2.31,2.34,12.44,0.18,2.24,0.89,0.75,0,0,0,0,0,0,0,0,0,0
10,point,220,rock,4.3,3.38,0.03,0.04,0.66,0.26,2.27,0.05,0.28,0.06,0,0,0,0,0,0,0,0,0,0,0,62.88,15.76,0.1,0.21,3.44,1.4,13.74,0.32,1.71,0.45,0,0,0,0,0,0,0,0,0,0,0
10,point,221,rock,1.77,3.16,0.03,0.13,1.64,2.55,0.89,0.33,0.87,0.45,0,0,0.03,0,0,0.26,0,0,0,0,0,36.09,16.43,0.12,0.73,9.66,15.92,6.27,2.25,6.07,3.81,0,0,0.29,0,0,2.36,0,0,0,0,0
10,point,222,rock,1.56,3.78,0.1,0.13,1.68,2.99,1.27,0.39,0.37,0.38,0,0,0.03,0,0,0,0,0,0,0,0,33.9,18.82,0.42,0.7,9.86,18.67,8.9,2.67,2.56,3.25,0,0,0.26,0,0,0,0,0,0,0,0
10,point,223,rock,3.72,3.26,0.04,0.07,0.76,1.79,1.6,0.12,0.42,0.24,0,0.06,0,0,0,0,0,0,0,0,0,56.4,14.76,0.13,0.32,3.87,9.57,9.61,0.73,2.57,1.83,0,0.22,0,0,0,0,0,0,0,0,0
10,point,224,rock,0.34,1.02,0,0.03,0.5,1.04,2.25,0.24,0.27,3.35,0,0,0.04,0,0,0,0,0,0,0,0,13.06,6.94,0,0.26,4.44,9.44,21.97,2.28,2.58,38.57,0,0,0.46,0,0,0,0,0,0,0,0
10,point,225,rock,0.5,7.89,0,0.18,3.6,4.78,0.24,0.63,0.31,0.61,0,0,0.05,0,0,0,0,0,0,0,0,10.39,30.78,0,0.9,18.68,27.09,1.53,3.77,1.93,4.55,0,0,0.38,0,0,0,0,0,0,0,0
10,point,226,rock,0.43,1.48,0.02,0.11,1.57,2.57,0.74,0.39,0.42,0.43,0,0,0.08,0,0,0,0,0,0,0,0,18.8,12.59,0.14,1.03,15.24,27.08,8.75,4.46,4.85,5.97,0,0,1.09,0,0,0,0,0,0,0,0
10,point,227,rock,3.78,4.39,0.03,0.08,0.92,1.65,1.6,0.19,0.97,0.15,0,0.42,0,0.14,0,0,0,0,0,0,0,51.44,18.04,0.08,0.36,4.25,8,8.67,1.01,5.33,1.05,0,1.48,0,0.3,0,0,0,0,0,0,0
10,point,228,rock,0.27,7.98,0,0.2,3.72,5.27,0.15,0.7,0.3,0.65,0,0,0.06,0,0,0,0,0,0,0,0,6,31.06,0,0.99,19.43,30.11,0.97,4.26,1.86,4.88,0,0,0.44,0,0,0,0,0,0,0,0
10,point,229,rock,0.55,13.73,0,0.32,2.58,8.52,0.19,0.49,0.16,0.62,0,0,0.04,0,0,0,0,0.17,0,0,0,8.49,37.55,0,1.15,9.81,34.57,0.9,2.14,0.72,3.37,0,0,0.24,0,0,0,0,1.05,0,0,0
10,point,230,rock,0.17,0.62,0,0.04,0.92,1.28,0.07,0.65,0.14,0.53,0.03,0,0.06,0,0,0,0,0,0,0,0,12.67,10.02,0,0.69,16.93,25.46,1.61,13.52,3.02,13.56,0.98,0,1.55,0,0,0,0,0,0,0,0
10,point,231,rock,1.02,7.55,0.05,0.24,3.05,4.52,0.57,0.87,0.33,0.55,0,0,0.08,0,0,0,0,0,0,0,0,18.32,28.25,0.17,1.07,14.55,23.3,3.27,4.83,1.88,3.78,0,0,0.57,0,0,0,0,0,0,0,0
10,point,232,rock,2.26,9.68,0.03,0.12,1.67,7.24,0.91,0.27,0.51,0.72,0,0,0.02,0,0,0,0,0,0,0,0,28.72,27.08,0.08,0.39,5.89,26.95,3.85,1.09,2.12,3.71,0,0,0.12,0,0,0,0,0,0,0,0
10,point,233,rock,0.42,9.56,0.04,0.25,3.98,5.43,0.97,0.98,0.2,1.3,0.04,0,0.05,0,0,0,0,0,0,0,0,7.49,30.24,0.13,1.02,16.93,24.99,4.99,4.78,1.01,7.86,0.24,0,0.32,0,0,0,0,0,0,0,0
