spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,P_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Zr_concentration_apparent,W_concentration_apparent,Mo_concentration_apparent,Mn_concentration_apparent,Ar_concentration_apparent,Ba_concentration_apparent,Cl_concentration_apparent,U_concentration_apparent,F_concentration_apparent,Total:_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,P_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Zr_wtper,W_wtper,Mo_wtper,Mn_wtper,Ar_wtper,Ba_wtper,Cl_wtper,U_wtper,F_wtper,Total:_wtper
15,point,163,rock,0.25,0.92,0,0.15,3.36,5.52,0,0.13,1.74,0.39,0.17,1.18,0,0,0,0,0,0,0,0,0,0,0,17.01,10.01,0,0.81,17.42,32.6,0,0.9,9.99,2.3,1.14,7.82,0,0,0,0,0,0,0,0,0,0,0
15,point,164,mz84_seds,0.73,2.85,0.03,0.5,4.57,5.83,0,0.38,0.78,0.33,0.06,1.86,0,0,0,0,0,0,0,0,0,0,0,27.56,17.55,0.09,1.8,16.01,22.79,0,1.67,2.9,1.25,0.27,8.09,0,0,0,0,0,0,0,0,0,0,0
15,point,165,rock,0.45,5.1,0.02,0.24,3.7,5.98,0.16,0.21,1.41,0.81,0.13,1.79,0.04,0,0,0,0,0,0,0.03,0,0,0,16.12,28.63,0.08,0.93,13.15,22.93,0.48,0.91,5.13,3,0.59,7.7,0.2,0,0,0,0,0,0,0.14,0,0,0
15,point,166,mz84_seds,3.68,28.24,0.12,0.61,8.96,11.68,0,0.39,2.36,0.28,0.12,1.29,0,0,0,0,0,0,0,0,0,0,0,27.72,42.84,0.12,0.71,9.82,13.47,0,0.49,2.63,0.32,0.16,1.72,0,0,0,0,0,0,0,0,0,0,0
15,point,167,rock,12.48,22.97,0.2,0.28,3.41,4.54,0.91,3.22,0.57,1.97,0.05,0.56,0.09,0,0,0,0,0,0,0,0,0.72,0,49.1,35.93,0.17,0.27,3.05,4.02,0.56,3.06,0.51,1.79,0.05,0.62,0.11,0,0,0,0,0,0,0,0,0.75,0
15,point,168,rock,0.61,2.2,0,0.07,1.36,2.88,0,0.29,0.69,0.38,0.07,1.59,0.05,0,0.15,0,0,0,0,0,0,0,0,29.43,22.32,0,0.46,8.17,17.73,0,2,4.11,2.3,0.49,11.3,0.41,0,1.26,0,0,0,0,0,0,0,0
15,point,169,rock,0.27,4.59,0,0.39,3.49,5.84,0,0.18,1.3,0.27,0.19,2.83,0,0,0,0,0,0,0,0,0,0,0,11.6,26.08,0,1.7,14.08,25.23,0,0.85,5.22,1.11,0.89,13.25,0,0,0,0,0,0,0,0,0,0,0
15,point,170,rock,1.79,22.21,0.09,0.44,7.28,11.69,0,0.51,1.31,0.45,0.17,1.69,0,0,0,0,0,0,0,0,0,0,0,21.38,42.53,0.12,0.68,10.57,17.93,0,0.86,1.95,0.68,0.31,2.99,0,0,0,0,0,0,0,0,0,0,0
15,point,171,rock,8.81,4.31,0.09,0.07,0.44,0.58,0,4.19,0.13,0.51,0,0.2,0.04,0,0,0,0,0,0,0,0,0,0,69.82,18.45,0.14,0.12,0.78,1.01,0,7.91,0.25,0.97,0,0.46,0.11,0,0,0,0,0,0,0,0,0,0
15,point,172,rock,15.83,7.94,0,0.09,0.87,1.44,0,3.23,0.19,0.93,0,0.84,0,0,0,0,0,0,0,0,0,0,0,68.5,21.76,0,0.11,1.06,1.71,0,4.15,0.24,1.17,0,1.3,0,0,0,0,0,0,0,0,0,0,0
15,point,173,rock,1.97,9.95,0.04,0.3,4.8,7.53,0,2.01,1.09,0.37,0.1,5.05,0.1,0,0,0,0,0,0,0,0,0,0,29.76,27.85,0.08,0.6,8.92,14.41,0,4.18,2.01,0.69,0.22,11.04,0.24,0,0,0,0,0,0,0,0,0,0
15,point,174,rock,9.96,5.15,0.1,0.14,1.99,4.62,0,2.31,0.45,0.59,0.04,0.58,0.04,0,0,0,0,0,0,0,0,0,0,66.53,17.26,0.13,0.21,2.82,6.59,0,3.65,0.67,0.89,0.07,1.08,0.09,0,0,0,0,0,0,0,0,0,0
